Corporation ID,Corp Name,Non-GCE Promote %,ELL %,Special Education %,FRPM_%,Pct American Indian,Pct Asian,Pct Black,Pct Hispanic,Pct Multiracial,Pct Pacific Islander,Pct White,Chronically Absent Percent,AVG_ATT_RATE,Total Enrollment,% Tested ELA,% Tested Math,Corp Per/Student,ELA Proficient %,Math Proficient %,Cluster,sub_cluster
15,Adams Central Community Schools,0.0176908911006038,0.0235294117647058,0.1529411764705882,0.2713235294117647,0.000735294117647,0.0051470588235294,0.0058823529411764,0.0463235294117647,0.0227941176470588,0.0,0.9191176470588236,0.0389406520341679,0.9663986562909546,1360,0.4375,0.4375,9659.390000000543,0.48403361344,0.61176470588,F,3
25,North Adams Community Schools,0.0420124032480768,0.0075997466751108,0.1798606713109563,0.4547181760607979,0.0025332488917036,0.0050664977834072,0.0265991133628879,0.1184293856871437,0.0506649778340722,0.0012666244458518,0.7954401519949335,0.0922940164649959,0.9734043348665908,1579,0.3464217859404686,0.3451551614946168,12311.389999998088,0.38574040219,0.33944954128,D,2
35,South Adams Schools,0.0044671433435477,0.1001529051987767,0.1888379204892966,0.45565749235474,0.0015290519877675,0.0084097859327217,0.0068807339449541,0.1162079510703364,0.0175840978593272,0.0007645259938837,0.8486238532110092,0.0743151123466611,0.9570313909510382,1308,0.4296636085626911,0.4296636085626911,12086.479999999548,0.40035587188,0.52135231316,F,2
125,MSD Southwest Allen County Schls,0.0241435267435045,0.0206485771012574,0.1193911317008603,0.2363997352746525,0.0022501654533421,0.0461945731303772,0.0828590337524818,0.072005294506949,0.058107213765718,0.00066181336863,0.7377895433487757,0.0309998698191384,0.9945528770620878,7555,0.4606221045665122,0.4604897418927862,8967.90000000285,0.52988505747,0.52888761138,C,0
225,Northwest Allen County Schools,0.012208305340346,0.0360252892759155,0.1577001073601336,0.2377430514135751,0.0011928903733746,0.062865322676846,0.0357867112012406,0.0603602528927591,0.060598830967434,0.0005964451866873,0.7785995467016581,0.044748799603384,0.9616394824601217,8383,0.4653465346534653,0.4649886675414529,8800.09999998255,0.4891053576,0.46382760389,C,0
235,Fort Wayne Community Schools,0.0590798612919139,0.1394092471760331,0.1712621904160527,0.6289553076545289,0.0016136953623798,0.0662667508594681,0.2512453518557496,0.2209710236441451,0.1031011015224865,0.0011576510208377,0.3555742650670034,0.1555849491378454,0.93564576428289,28506,0.4308566617554199,0.4299445730723356,11252.70000002995,0.28814525321,0.25359007832,G,1
255,East Allen County Schools,0.0410173436438861,0.1345058459078645,0.1554911561906665,0.5202358349155591,0.0014989507344858,0.1597881482961926,0.1063255720995303,0.0920355750974318,0.0557609673228739,0.0005995802937943,0.583991206155691,0.125560044969347,0.930221165228298,10007,0.436294593784351,0.435894873588488,10035.320000044929,0.40013742556,0.35213204951,C,2
365,Bartholomew Con School Corp,0.0290310304843806,0.1353183456324009,0.1455294319546936,0.4678222069675647,0.0025742234425948,0.0714776042560494,0.0258280418740346,0.1983868199759739,0.048481208168869,0.0006006521366054,0.6526514501458727,0.0999208745324984,0.9422868479733244,11654,0.4348721469023511,0.4342714947657456,10617.360000035713,0.40213101815,0.40446552064,C,2
370,Flat Rock-Hawcreek School Corp,0.0029042965148442,0.0129032258064516,0.1849462365591397,0.5021505376344086,0.0053763440860215,0.0032258064516129,0.0032258064516129,0.0301075268817204,0.0376344086021505,0.0043010752688172,0.9150537634408602,0.1278794979225,0.9382859352478502,930,0.4709677419354838,0.4720430107526882,9342.530000000734,0.39269406392,0.44646924829,D,6
395,Benton Community School Corp,0.0472834673326178,0.0580605311920938,0.1809759110562075,0.5799876466954911,0.0012353304508956,0.0006176652254478,0.0037059913526868,0.118591723285979,0.0271772699197035,0.0006176652254478,0.8480543545398395,0.0820374424258266,0.946675946419666,1619,0.4305126621371217,0.4305126621371217,13510.43000000433,0.29411764705,0.36585365853,D,5
515,Blackford County Schools,0.0543274104043184,0.0149558123725356,0.212780421481985,0.5540448674371176,0.0020394289598912,0.0013596193065941,0.0081577158395649,0.044867437117607,0.0543847722637661,0.000679809653297,0.8885112168592794,0.1212850951358322,0.939175932262282,1471,0.42556084296397,0.424881033310673,11061.34000000293,0.35303514376,0.44,D,2
615,Western Boone Co Com Sch Dist,0.0057663246639625,0.0081812460667086,0.1554436752674638,0.3700440528634361,0.000629326620516,0.0025173064820641,0.0031466331025802,0.0383889238514789,0.0232850849590937,0.0018879798615481,0.9301447451227188,0.062042450460831,0.954911670929887,1589,0.4493392070484581,0.4493392070484581,9461.329999998465,0.55882352941,0.58823529411,F,3
630,Zionsville Community Schools,0.0060553876760291,0.0266313265177331,0.1260886028019689,0.0652530607093272,0.0018932222642938,0.0773696832008077,0.0292818376877445,0.0546510160292818,0.0557869493878581,0.0002524296352391,0.7807648617947747,0.046396944862488,0.9626780563906628,7923,0.4544995582481383,0.4544995582481383,8882.870000004386,0.65287420161,0.68258816995,C,0
665,Lebanon Community School Corp,0.0229195878695908,0.0720846089618703,0.2279432229334817,0.4734205399387698,0.0011132758140829,0.0122460339549123,0.0832173671026997,0.0885054272195936,0.039799610353465,0.0005566379070414,0.7745616476482048,0.0963159900358408,0.944760563689059,3593,0.4539382131923184,0.4533815752852769,10268.990000006566,0.42182709993,0.41190914671,F,4
670,Brown County School Corporation,0.0175380007632485,0.0025094102885821,0.1951066499372647,0.5150564617314931,0.0025094102885821,0.0018820577164366,0.0075282308657465,0.0219573400250941,0.0250941028858218,0.0006273525721455,0.9404015056461732,0.1407646415925236,0.9319552375719315,1594,0.4479297365119197,0.4485570890840652,12596.5,0.42857142857,0.393006993,D,1
