Corporation ID,Corp Name,Non-GCE Promote %,ELL %,Special Education %,FRPM_%,Pct American Indian,Pct Asian,Pct Black,Pct Hispanic,Pct Multiracial,Pct Pacific Islander,Pct White,Chronically Absent Percent,AVG_ATT_RATE,Total Enrollment,% Tested ELA,% Tested Math,Corp Per/Student,ELA Proficient %,Math Proficient %
15,Adams Central Community Schools,0.01769089110060387,0.023529411764705882,0.15294117647058825,0.2713235294117647,0.0007352941176470588,0.005147058823529412,0.0058823529411764705,0.04632352941176471,0.022794117647058822,0.0,0.9191176470588235,0.03894065203416796,0.9663986562909546,1360,0.4375,0.4375,9659.390000000545,0.48403361344,0.61176470588
25,North Adams Community Schools,0.04201240324807686,0.007599746675110829,0.1798606713109563,0.45471817606079795,0.00253324889170361,0.00506649778340722,0.026599113362887904,0.11842938568714376,0.0506649778340722,0.001266624445851805,0.7954401519949335,0.09229401646499599,0.9734043348665907,1579,0.34642178594046863,0.34515516149461684,12311.389999998088,0.38574040219,0.33944954128
35,South Adams Schools,0.004467143343547761,0.10015290519877676,0.18883792048929662,0.45565749235474007,0.0015290519877675841,0.008409785932721712,0.006880733944954129,0.1162079510703364,0.017584097859327217,0.0007645259938837921,0.8486238532110092,0.07431511234666113,0.9570313909510382,1308,0.42966360856269115,0.42966360856269115,12086.479999999547,0.40035587188,0.52135231316
125,MSD Southwest Allen County Schls,0.024143526743504534,0.020648577101257445,0.11939113170086035,0.23639973527465255,0.0022501654533421574,0.04619457313037723,0.0828590337524818,0.07200529450694904,0.05810721376571807,0.0006618133686300463,0.7377895433487757,0.030999869819138444,0.9945528770620878,7555,0.46062210456651226,0.46048974189278624,8967.90000000285,0.52988505747,0.52888761138
225,Northwest Allen County Schools,0.012208305340346098,0.03602528927591554,0.1577001073601336,0.2377430514135751,0.001192890373374687,0.062865322676846,0.035786711201240606,0.060360252892759154,0.06059883096743409,0.0005964451866873435,0.7785995467016581,0.04474879960338406,0.9616394824601217,8383,0.46534653465346537,0.46498866754145296,8800.09999998255,0.4891053576,0.46382760389
235,Fort Wayne Community Schools,0.05907986129191394,0.13940924717603312,0.17126219041605276,0.6289553076545289,0.00161369536237985,0.06626675085946818,0.25124535185574964,0.2209710236441451,0.1031011015224865,0.0011576510208377185,0.35557426506700346,0.15558494913784543,0.93564576428289,28506,0.4308566617554199,0.42994457307233563,11252.70000002995,0.28814525321,0.25359007832
255,East Allen County Schools,0.041017343643886144,0.1345058459078645,0.15549115619066653,0.5202358349155591,0.00149895073448586,0.15978814829619267,0.10632557209953034,0.0920355750974318,0.055760967322873986,0.0005995802937943439,0.583991206155691,0.12556004496934706,0.9302211652282979,10007,0.436294593784351,0.43589487358848805,10035.320000044929,0.40013742556,0.35213204951
365,Bartholomew Con School Corp,0.029031030484380656,0.1353183456324009,0.14552943195469367,0.46782220696756477,0.002574223442594817,0.07147760425604943,0.025828041874034667,0.1983868199759739,0.048481208168869055,0.0006006521366054573,0.6526514501458727,0.09992087453249847,0.9422868479733245,11654,0.4348721469023511,0.43427149476574567,10617.360000035711,0.40213101815,0.40446552064
370,Flat Rock-Hawcreek School Corp,0.0029042965148442746,0.012903225806451613,0.18494623655913978,0.5021505376344086,0.005376344086021506,0.0032258064516129032,0.0032258064516129032,0.030107526881720432,0.03763440860215054,0.004301075268817204,0.9150537634408602,0.12787949792250003,0.9382859352478502,930,0.47096774193548385,0.4720430107526882,9342.530000000734,0.39269406392,0.44646924829
395,Benton Community School Corp,0.047283467332617825,0.05806053119209389,0.18097591105620753,0.5799876466954911,0.0012353304508956147,0.0006176652254478073,0.0037059913526868438,0.118591723285979,0.027177269919703522,0.0006176652254478073,0.8480543545398395,0.08203744242582663,0.9466759464196661,1619,0.4305126621371217,0.4305126621371217,13510.43000000433,0.29411764705,0.36585365853
515,Blackford County Schools,0.05432741040431846,0.01495581237253569,0.21278042148198503,0.5540448674371176,0.0020394289598912306,0.0013596193065941536,0.008157715839564922,0.04486743711760707,0.054384772263766146,0.0006798096532970768,0.8885112168592794,0.12128509513583224,0.9391759322622819,1471,0.42556084296397007,0.424881033310673,11061.34000000293,0.35303514376,0.44
615,Western Boone Co Com Sch Dist,0.005766324663962582,0.008181246066708621,0.1554436752674638,0.3700440528634361,0.0006293266205160479,0.0025173064820641915,0.0031466331025802393,0.03838892385147892,0.02328508495909377,0.0018879798615481435,0.9301447451227187,0.062042450460831,0.954911670929887,1589,0.44933920704845814,0.44933920704845814,9461.329999998465,0.55882352941,0.58823529411
630,Zionsville Community Schools,0.0060553876760291265,0.026631326517733183,0.12608860280196896,0.06525306070932728,0.001893222264293828,0.07736968320080778,0.02928183768774454,0.05465101602928184,0.05578694938785814,0.0002524296352391771,0.7807648617947747,0.04639694486248802,0.9626780563906628,7923,0.4544995582481383,0.4544995582481383,8882.870000004386,0.65287420161,0.68258816995
665,Lebanon Community School Corp,0.022919587869590852,0.0720846089618703,0.22794322293348177,0.4734205399387698,0.001113275814082939,0.01224603395491233,0.0832173671026997,0.08850542721959366,0.03979961035346507,0.0005566379070414695,0.7745616476482048,0.09631599003584085,0.944760563689059,3593,0.4539382131923184,0.45338157528527695,10268.990000006566,0.42182709993,0.41190914671
670,Brown County School Corporation,0.017538000763248504,0.002509410288582183,0.19510664993726473,0.5150564617314931,0.002509410288582183,0.0018820577164366374,0.0075282308657465494,0.021957340025094103,0.025094102885821833,0.0006273525721455458,0.9404015056461732,0.14076464159252366,0.9319552375719317,1594,0.4479297365119197,0.4485570890840652,12596.5,0.42857142857,0.393006993
