Corporation ID,Corp Name,Math Below Benchmark,Math Approaching Benchmark,Math At Benchmark,Math Total Tested,Math Benchmark %
3470,Northwestern School Corp,45,25,60,130,0.46153846153
3480,Eastern Howard School Corporation,53,27,31,111,0.27927927927
3490,Western School Corporation,89,47,62,198,0.31313131313
3500,Kokomo School Corporation,212,60,41,313,0.13099041533
3625,Huntington Co Com Sch Corp,146,80,94,320,0.29375
3640,Medora Community School Corp,11,0,0,11,0.0
3675,Seymour Community Schools,264,66,63,393,0.16030534351
3695,Brownstown Cnt Com Sch Corp,69,18,26,113,0.23008849557
3710,Crothersville Community Schools,23,1,1,25,0.04
3785,Kankakee Valley School Corp,107,80,63,250,0.252
3815,Rensselaer Central School Corp,64,21,32,117,0.2735042735
3945,Jay School Corporation,97,39,39,175,0.22285714285
3995,Madison Consolidated Schools,85,39,39,163,0.23926380368
4000,Southwestern-Jefferson Co Con,46,22,10,78,0.1282051282
4015,Jennings County School Corporation,181,61,35,277,0.12635379061
4145,Clark-Pleasant Community Sch Corp,243,122,99,464,0.21336206896
4205,Center Grove Community School Corp,222,207,288,717,0.40167364016
4215,Edinburgh Community School Corp,26,21,7,54,0.12962962962
4225,Franklin Community School Corp,181,97,74,352,0.21022727272
4245,Greenwood Community Sch Corp,147,62,78,287,0.27177700348
4255,Nineveh-Hensley-Jackson United,79,41,32,152,0.21052631578
4315,North Knox School Corp,45,21,7,73,0.09589041095
4325,South Knox School Corp,51,32,17,100,0.17
4335,Vincennes Community School Corp,140,33,21,194,0.10824742268
4345,Wawasee Community School Corp,90,35,53,178,0.29775280898
4415,Warsaw Community Schools,270,129,122,521,0.23416506717
4445,Tippecanoe Valley School Corp,73,28,28,129,0.21705426356
4455,Whitko Community School Corp,62,15,19,96,0.19791666666
4515,Prairie Heights Community Sch Corp,57,32,19,108,0.17592592592
4525,Westview School Corporation,26,23,39,88,0.44318181818
4535,Lakeland School Corporation,61,41,25,127,0.1968503937
4570,NW Indiana Special Education Coop,1,0,0,1,0.0
4580,Hanover Community School Corp,76,56,62,194,0.31958762886
4590,River Forest Community Sch Corp,100,16,3,119,0.02521008403
4600,Merrillville Community School Corp,334,106,46,486,0.09465020576
4615,Lake Central School Corporation,215,175,339,729,0.46502057613
4645,Tri-Creek School Corporation,115,63,71,249,0.28514056224
4650,Lake Ridge New Tech Schools,125,10,6,141,0.04255319148
4660,Crown Point Community School Corp,233,224,241,698,0.3452722063
