Corporation ID,CORPORATION_NAME,IDOE_SCHOOL_ID,SCHOOL_NAME,2023-2024 ATTENDANCE RATE
5275,Anderson Community School Corp,4977,Tenth Street Elementary School,0.9290941546360062
5275,Anderson Community School Corp,5033,Valley Grove Elementary School,0.9228529572215786
5275,Anderson Community School Corp,5076,Highland Middle School,0.8942632618985616
5275,Anderson Community School Corp,5102,Eastside Elementary School,0.9171338637321238
5275,Anderson Community School Corp,5142,Anderson Elementary School,0.9230402224950398
5275,Anderson Community School Corp,5146,Erskine Elementary School,0.9227525887552487
5280,Elwood Community School Corp,5149,Elwood Jr-Sr High School,0.8937192912247938
5280,Elwood Community School Corp,5151,Elwood Intermediate School,0.9319845197978096
5280,Elwood Community School Corp,5157,Elwood Elementary School,0.9124309123056147
5300,MSD Decatur Township,5177,Decatur Central High School,0.8661110567925648
