Corporation ID,Corp Name,EBRW Below Benchmark,EBRW Approaching Benchmark,EBRW At Benchmark,EBRW Total Tested,EBRW Benchmark %
9880,Career Academy High School,59,11,40,110,0.36363636363
9885,Gary Middle College,23,0,2,25,0.08
9895,IN Math & Science Academy - North,24,4,18,46,0.39130434782
9905,Indiana Connections Academy,328,104,393,825,0.47636363636
9910,Excel Center for Adult Learners,8,1,2,11,0.18181818181
9920,Damar Charter Academy,4,0,0,4,0.0
9950,Dugger Union Community School Corp,33,4,7,44,0.15909090909
9980,Steel City Academy,10,1,6,17,0.35294117647
9985,Seven Oaks Classical School,1,2,16,19,0.84210526315
9995,Excel Center - Shelbyville,18,1,2,21,0.09523809523
